X,Y,fid,OBJECTID,CIMMYTMA,Geography,coll_collNumb,B_,B__seeds,ddPCR,acceName,geo_latitude,geo_longitude,geo_elevation,Adaptation_Zone,icon_url
-51.8666669999999,-23.916667,"268","268",2712,Brazil,BRAZ 7,0,0,,,-23.916667,-51.866667,339,"Temperate, no dry season, hot summer  ",./1.png
-51.483333,-23.55,"269","269",2714,Brazil,BRAZ 9,0,0,,,-23.55,-51.483333,743,"Temperate, no dry season, hot summer  ",./1.png
-51.483333,-23.55,"270","270",2715,Brazil,BRAZ 10,0,0,,,-23.55,-51.483333,743,"Temperate, no dry season, hot summer  ",./1.png
-57.0242949999999,-26.864407,"271","271",2763,Paraguay,PARA 173,0,0,,AVATI-PICHINGA,-26.864407,-57.024295,147,"Temperate, no dry season, hot summer  ",./1.png
-46.63333333,-23.55,"272","272",2775,Brazil,BRAZ 2463,0,0,,PIPOCA,-23.55,-46.63333333,771,"Temperate, no dry season, warm summer ",./1.png
-49.519177,-23.397216,"273","273",2780,Brazil,BRAZ 2469,0,0,,PIPOCA AMARELO COMUN,-23.397216,-49.519177,534,"Temperate, no dry season, hot summer  ",./1.png
nan,nan,"274","274",2848,Brazil,BRAZ 2828,0,0,,,,,,,./1.png
nan,nan,"275","275",2852,Brazil,BRAZ 2832,0,0,,,,,,,./1.png
-39.2166666699999,-12.43333333,"276","276",2863,Brazil,BRAZ 2904,0,0,,,-12.43333333,-39.21666667,208,"Tropical, savannah",./1.png
-41.6318699999999,-12.2550469999999,"277","277",2877,Brazil,BRAZ 2918,0,0,,,-12.255047,-41.63187,730,"Tropical, savannah",./1.png
-41.9880499999999,-11.310665,"278","278",2884,Brazil,BRAZ 2925,0,0,,,-11.310665,-41.98805,676,"Arid, steppe, hot                     ",./1.png
-41.9880499999999,-11.310665,"279","279",2887,Brazil,BRAZ 2929,0,0,,,-11.310665,-41.98805,676,"Arid, steppe, hot                     ",./1.png
-39.2666666699999,-11.55,"280","280",2889,Brazil,BRAZ 2931,0,0,,,-11.55,-39.26666667,392,"Arid, steppe, hot                     ",./1.png
-37.81666667,-10.7333333299999,"281","281",2896,Brazil,BRAZ 2938,0,0,,,-10.73333333,-37.81666667,264,"Tropical, savannah",./1.png
-36.566829,-10.26273,"282","282",2901,Brazil,BRAZ 2944,0,0,,,-10.26273,-36.566829,75,"Tropical, savannah",./1.png
-39.13333333,-7.24999999999994,"283","283",2936,Brazil,BRAZ 2980,0,0,,,-7.25,-39.13333333,369,"Tropical, savannah",./1.png
-38.3295689999999,-6.82281899999998,"284","284",2948,Brazil,BRAZ 2992,0,0,,,-6.822819,-38.329569,242,"Tropical, savannah",./1.png
-34.9,-8.04999999999995,"285","285",2964,Brazil,BRAZ 3012,0,0,,,-8.05,-34.9,10,"Tropical, monsoon",./1.png
-35.7499999999999,-5.91666666999993,"286","286",2975,Brazil,BRAZ 3023,0,0,,,-5.91666667,-35.75,122,"Arid, steppe, hot                     ",./1.png
-50.9999999999999,-23.9999999999999,"287","287",3020,Brazil,PARA GP1,0,0,,,-24,-51,732,"Temperate, no dry season, hot summer  ",./1.png
-55.9333329999999,-26.1,"288","288",3032,Paraguay,PARA 114,0,0,,AVATI-MOROTI-GUAPI,-26.1,-55.933333,151,"Temperate, no dry season, hot summer  ",./1.png
-50.9999999999999,-23.9999999999999,"289","289",3033,Brazil,PARA GP3,0,0,,,-24,-51,732,"Temperate, no dry season, hot summer  ",./1.png
-54.16666667,-29.33333333,"290","290",3067,Brazil,RIGS GP14,0,0,,,-29.33333333,-54.16666667,322,"Temperate, no dry season, hot summer  ",./1.png
-78.4999999999999,1.50000000000006,"291","291",3115,Colombia,NARI 521,0,0,,,1.5,-78.5,116,"Tropical, rainforest",./1.png
-75.88333333,8.71666667000005,"292","292",3130,Colombia,CORD 338,0,0,,CARIACO,8.71666667,-75.88333333,12,"Tropical, savannah",./1.png
-72.65,7.38333333000003,"293","293",3153,Colombia,SANN 317,0,0,,CHAPARRITO,7.38333333,-72.65,2395,"Temperate, no dry season, warm summer ",./1.png
-76.9999999999999,6.00000000000006,"294","294",3211,Colombia,CHOC 314,0,0,,,6,-77,171,"Tropical, rainforest",./1.png
-78.5809839999999,1.40339300000005,"295","295",3215,Colombia,NARI 392,0,0,,BLANCO COMUN,1.403393,-78.580984,87,"Tropical, rainforest",./1.png
-76.6358509999999,5.73258800000002,"296","296",3217,Colombia,CHOC 356,0,0,,CAPIO,5.732588,-76.635851,56,"Tropical, rainforest",./1.png
-74.4999999999999,4.96666667000005,"297","297",3223,Colombia,DIACOL V 206,0,0,,DIACOL V 206,4.96666667,-74.5,1298,"Temperate, no dry season, warm summer ",./1.png
-74.4999999999999,4.96666667000005,"298","298",3225,Colombia,E.T.O. X PERU AMARILLO,0,0,,E.T.O. X PERU AMARILLO,4.96666667,-74.5,1298,"Temperate, no dry season, warm summer ",./1.png
